time,leela,network,v1,v2,win_b,win_w,puct1,puct2
2018-12-28 00:38:40.779031,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,1,1,0.1,0.8;
2018-12-28 00:39:11.829027,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,1,1,0.8,0.8;
2018-12-28 00:39:30.056002,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,1,1,1.5,0.8;
2018-12-28 01:04:25.640274,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,2,0,0.1,0.8;
2018-12-28 01:04:49.194390,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,2,0,0.8,0.8;
2018-12-28 01:05:10.562189,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,2,0,1.5,0.8;
2018-12-28 01:19:55.117857,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,1,1,0.1,0.8;
2018-12-28 01:20:22.094930,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,1,1,0.8,0.8;
2018-12-28 01:20:49.516895,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,2,0,1.5,0.8;
2018-12-28 01:26:13.146964,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,1,1,0.1,0.8;
2018-12-28 01:26:36.181965,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,1,1,0.8,0.8;
2018-12-28 01:26:52.692072,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,0,2,1.5,0.8;
2018-12-28 01:43:34.843727,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,2,0,0.1,0.8;
2018-12-28 01:43:54.770278,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,2,0,0.8,0.8;
2018-12-28 01:44:18.971178,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,1,1,1.5,0.8;
